tempo,axmpu,aympu,azmpu,gxmpu,gympu,gzmpu,mxmpu,mympu,mzmpu,axlsm,aylsm,azlsm,gxlsm,gylsm,gzlsm,mxlsm,mylsm,mzlsm,roll,pitch,yaw,temperatura_baro,pressao_baro,temperatura_pitot,pressao_pitot,RPI3 V,SERVO V,PWR V,PWR A,ADC2,ADC3,Longitude,Latitude,height_msl,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00,0,0,0,0,0,0,0,0,
0.032096,-0.09,-0.19,9.95,0.04,0.00,0.01,39.51,9.52,-22.51,0.06,-0.01,9.67,-0.03,-0.11,0.00,27.32,-31.38,-10.90,-0.01,0.03,-0.00,33.71,953.24,24.06,0.00,5049.00,33.00,0.00,30.00,16.00,24.00,0.00000000,0.00000000,0.00,0,0,0,0,0,0,0,0,
0.066168,-0.18,-0.00,10.09,0.04,0.00,0.01,39.51,9.52,-22.51,0.06,-0.06,9.70,-0.03,-0.11,0.01,27.49,-31.67,-11.48,-0.03,0.06,-0.00,33.71,953.24,24.06,0.00,5037.00,33.00,0.00,30.00,18.00,24.00,0.00000000,0.00000000,0.00,0,0,0,0,0,0,0,0,
0.100195,-0.18,-0.11,10.06,0.04,-0.00,0.01,39.51,9.52,-22.51,0.03,-0.08,9.62,-0.03,-0.11,0.01,27.72,-31.55,-11.19,-0.03,0.09,-0.00,33.71,953.24,24.06,0.00,5028.00,33.00,0.00,32.00,18.00,20.00,0.00000000,0.00000000,0.00,0,0,0,0,0,0,0,0,
0.132524,-0.14,-0.01,9.98,0.03,0.00,0.01,39.51,9.52,-22.51,0.06,-0.06,9.58,-0.03,-0.11,0.01,28.01,-31.78,-11.43,-0.04,0.12,-0.00,33.71,953.24,24.06,-5.05,5016.00,33.00,0.00,28.00,18.00,22.00,0.00000000,0.00000000,0.00,0,0,0,0,0,0,0,0,
0.167052,-0.16,-0.04,10.02,0.04,0.00,0.01,39.51,9.52,-22.51,0.04,-0.04,9.71,-0.03,-0.11,0.00,27.55,-31.26,-11.37,-0.05,0.14,-0.00,33.71,953.24,24.06,0.00,5025.00,33.00,0.00,26.00,22.00,24.00,0.00000000,0.00000000,0.00,0,0,0,0,0,0,0,0,
0.199764,-0.20,-0.01,10.04,0.04,-0.00,0.01,39.51,10.23,-23.19,0.04,-0.03,9.68,-0.03,-0.11,0.00,27.32,-31.55,-12.01,-0.06,0.16,-0.00,33.71,953.24,24.06,-9.26,5028.00,33.00,0.00,24.00,24.00,24.00,0.00000000,0.00000000,0.00,0,0,0,0,0,0,0,0,
0.233470,-0.21,-0.09,10.01,0.04,0.00,0.01,39.51,10.23,-23.19,0.04,-0.04,9.60,-0.03,-0.11,0.01,27.49,-31.15,-11.66,-0.08,0.18,-0.00,33.71,953.24,24.06,-5.05,5031.00,33.00,0.00,24.00,24.00,24.00,0.00000000,0.00000000,0.00,0,0,0,0,0,0,0,0,
0.267106,-0.13,0.00,10.00,0.04,0.00,0.02,39.51,10.23,-23.19,0.06,-0.05,9.64,-0.03,-0.11,0.01,27.26,-31.49,-12.24,-0.09,0.20,-0.00,33.71,953.24,24.06,-5.05,5031.00,33.00,0.00,24.00,24.00,24.00,0.00000000,0.00000000,0.00,0,0,0,0,0,0,0,0,
0.300919,-0.16,-0.07,9.98,0.04,-0.00,0.01,39.51,10.58,-22.85,-0.04,0.01,9.68,-0.03,-0.11,-0.00,27.38,-31.90,-12.24,-0.10,0.23,-0.00,33.71,953.24,24.06,0.00,5037.00,33.00,0.00,24.00,22.00,26.00,0.00000000,0.00000000,0.00,0,0,0,0,0,0,0,0,
0.334541,-0.17,-0.04,10.02,0.04,-0.00,0.02,39.51,10.58,-22.85,0.02,-0.11,9.66,-0.02,-0.11,0.00,26.51,-31.78,-11.43,-0.12,0.24,-0.00,33.71,953.24,24.06,0.00,5037.00,33.00,0.00,26.00,22.00,24.00,0.00000000,0.00000000,0.00,0,0,0,0,0,0,0,0,
0.368251,-0.14,-0.06,10.00,0.04,0.00,0.01,39.51,10.58,-22.85,0.04,-0.11,9.63,-0.03,-0.11,0.01,27.61,-32.19,-13.17,-0.12,0.26,-0.00,33.71,953.24,24.06,-5.05,5037.00,33.00,0.00,28.00,20.00,24.00,0.00000000,0.00000000,0.00,0,0,0,0,0,0,0,0,
0.400572,-0.13,0.02,10.04,0.04,0.00,0.01,39.51,10.58,-22.85,0.09,-0.05,9.66,-0.03,-0.11,0.01,27.67,-31.32,-11.72,-0.14,0.28,-0.01,33.71,953.24,24.06,0.00,5037.00,33.00,0.00,28.00,20.00,22.00,-45.92976379,-23.24736977,597.07,0,0,0,0,0,0,0,0,
